startsumma,häst,startpoäng,ålder,kön,tränare,tränarkön,tjänat_innev_år,proffs_amatör,id
12827545,Cyber Lane,9950,8,v,Untersteiner Johan (Hd),0,0,1,1
9638269,Habitat (US),272,9,h,Persson Fredrik (Kr),0,0,1,2
8394262,Aetos Kronos,15467,5,h,Riordan Jerry (Hd),0,1029473,1,3
7385729,Mindyourvalue WF,3629,8,v,Bergh Robert (Å),0,73388,1,4
7372705,Digital Ink,1010,12,v,Bergh Robert (Å),0,28500,1,5
7283000,Hail Mary,62600,5,h,Bergh Robert (Å),0,0,1,6
6313046,Handsome Brad,9440,8,h,Stenströmer Ulf (Ax),0,75000,1,7
5909901,VästerboontheNews,1670,13,v,Brindeborg Lars (Hd),0,0,1,8
5692260,Giveitgasandgo (US),771,7,h,Paal Wilhelm (Hd),0,51695,1,9
5664161,Yes Mickey (US),74,7,v,Bergh Robert (Å),0,500,1,10
5646607,Zarenne Fas* (IT),10548,6,h,Riordan Jerry (Hd),0,0,1,11
5393010,Express Jet* (FR),0,7,h,Malmqvist Tomas (J),0,0,1,12
5020642,Racing Mange,2942,8,h,Lövgren Joakim (J),0,0,1,13
4844390,Ultra Bright,3650,8,s,Persson Fredrik (Kr),0,227000,1,14
4818340,Monark Newmen,1915,8,h,Persson Fredrik (Kr),0,11500,1,15
4544411,Osterc (US),930,5,h,Burman Helena (J),1,17000,1,16
4420040,Gareth Boko,1035,8,h,Riordan Jerry (Hd),0,55500,1,17
4212934,Poet Broline,215,9,h,Tovek Linda (Hd),1,0,0,18
4200944,Campo Bahia,2914,6,h,Lugauer Conrad (J),0,0,0,19
3927247,Calle Crown,4240,7,h,Malmqvist Tomas (J),0,95608,1,20
3898033,Generaal Bianco* (NL),792,8,v,Untersteiner Peter (Hd),0,0,1,21
3873214,Balfour (FR),1895,10,v,Bergh Robert (Å),0,0,1,22
3865141,Lover Face,552,13,v,Jonsson Angelica (Ax),1,7500,0,23
3857714,Rome Pays Off (US),6601,4,h,Bergh Robert (Å),0,0,1,24
3825677,Dear Friend,4543,8,s,Untersteiner Johan (Hd),0,263856,1,25
3774850,Guzz Mearas,7265,5,h,Untersteiner Johan (Hd),0,81542,1,26
3691586,Ivar Sånna*,176,11,h,Årman Jeanet (Ax),1,0,0,27
3522114,A Sweet Dance,6336,6,s,Burman Helena (J),1,481100,1,28
3506299,Stoletheshow (NO),6444,6,h,Lindgren Marcus (Hd),0,67500,0,29
3413500,Ferrari Sisu,1525,6,v,Lugauer Conrad (J),0,16000,1,30
3411714,Velvet Gio (IT),4974,7,v,Dahlén Magnus (Hd),0,0,1,31
3304618,Star Advisor Joli,390,12,v,Aronsson Sofia (Ax),1,23000,1,32
3170401,Rajesh Face,1750,8,v,Kolgjini Adrian (J),0,0,1,33
3016783,Heart of Steel* (NL),3209,7,v,Untersteiner Peter (Hd),0,0,1,34
3000065,Samo Different Day (US),15,6,h,Göransson Carl-Otto (Hd),1,0,0,35
2997716,Tae Kwon Deo (US),8180,6,h,Kolgjini Adrian (J),0,0,1,36
2912879,Baron Gift,605,8,h,Svanstedt Rickard (Ax),0,500,1,37
2715365,Empire* (DK),8993,5,h,Malmqvist Tomas (J),0,706870,1,38
2712500,Grande Diva Sisu,5780,5,s,Nordström Per (J),0,0,1,39
2516887,Mulligan,222,8,s,Uhrberg Thomas (J),0,0,1,40
2433650,Dontlooseallmoney,484,5,s,Oscarsson Jim (Kr),0,43400,1,41
2409505,Pacific Face,4489,9,v,Lubrano Giuseppe (Å),0,315000,0,42
2408294,Brasil Boko,496,13,h,Heiskanen Veijo (Å),0,0,0,43
2350637,Breidabliks Nubbe,1793,9,h,Lugauer Conrad (J),0,113390,1,44
2298908,The Bucket List F,3235,7,h,Burman Helena (J),1,0,1,45
2297627,Dragster,7055,9,v,Malmqvist Roger (J),0,75500,1,46
2276088,Jula Trix Treasure (US),7971,4,h,Bergh Robert (Å),0,0,1,47
2273993,Confidence* (DK),460,7,v,Malmqvist Tomas (J),0,0,1,48
