startsum_low,startsum_high,age_low,age_high,distance,starttype,gender,applicants,addition,first_price,good_prop,id,starting_total,starting_women
665001,12000000,3,12,2140,2,0,7,0,35000,0,1,7,0
100001,820000,4,12,2140,2,0,8,0,30000,0,2,8,2
0,49000,3,3,2140,1,0,12,0,60000,1,3,12,1
0,19000,3,12,2140,1,0,10,0,30000,0,4,10,4
0,36000,3,12,2140,1,0,10,0,30000,0,5,9,2
139001,265000,3,12,1640,2,0,13,0,30000,1,6,9,2
100001,330000,3,12,2140,2,1,12,0,30000,1,7,10,1
0,12000000,0,12,2140,1,0,11,0,0,1,8,11,0
0,12000000,2,2,2140,1,0,0,0,0,0,9,0,0
0,12000000,4,12,2140,1,0,0,0,0,0,10,0,0
0,25000,3,12,2140,1,0,10,0,30000,0,11,10,0
0,150000,3,3,2140,2,0,6,0,60000,0,12,5,0
0,181000,3,12,2140,0,0,13,1,30000,1,13,11,3
0,12000000,3,12,2140,0,0,15,1,30000,1,14,15,0
100001,300000,3,12,2140,2,0,17,0,50000,1,15,12,1
100001,458062,3,12,2140,2,0,13,0,50000,1,16,12,3
30001,12000000,3,3,2140,2,0,5,0,60000,0,17,5,0
0,12000000,0,12,2140,1,0,4,0,0,0,18,4,1
0,12000000,2,2,2140,1,0,0,0,0,0,19,0,0
0,25000,3,3,2140,1,1,15,0,60000,1,20,12,1
0,12000,3,12,2140,1,0,12,0,30000,1,21,11,2
0,31000,3,12,1640,2,0,11,0,30000,1,22,11,3
69001,155000,3,12,1640,2,0,19,0,30000,1,23,12,2
0,345000,3,12,2140,0,0,18,1,30000,1,24,15,2
0,12000000,3,12,2140,0,0,27,1,30000,1,25,15,3
0,12000000,4,12,2140,0,0,10,1,30000,0,26,10,5
0,12000000,0,12,2140,1,0,5,0,0,0,27,5,0
0,12000000,2,2,2140,1,0,2,0,0,0,28,2,0
0,12000000,4,12,2140,1,0,0,0,0,0,29,0,0
0,16000,3,12,2140,2,0,16,0,30000,1,30,12,2
0,49000,3,3,2140,1,0,14,0,60000,1,31,12,1
0,96000,3,12,2140,0,0,9,1,40000,0,32,9,1
50001,175000,4,4,2140,2,0,21,0,50000,1,33,12,4
96001,242000,3,12,1640,2,0,24,0,50000,1,34,12,3
75001,285000,3,7,2140,2,1,18,0,125000,1,35,15,3
242001,542000,3,12,1640,2,0,17,0,60000,1,36,12,0
0,795000,3,12,3140,0,0,16,1,70000,1,37,15,2
285001,1050000,3,12,1640,2,1,10,0,70000,0,38,9,2
542001,1475000,3,12,2140,2,0,13,0,70000,1,39,12,0
0,12000000,0,12,2140,2,0,5,0,0,0,40,5,0
0,12000000,2,2,2140,0,0,1,0,0,0,41,1,0
0,7000,3,12,2140,1,0,9,0,30000,0,42,9,1
0,28000,3,12,2140,1,0,10,0,30000,0,43,8,1
0,165000,3,12,2140,0,0,19,1,30000,1,44,15,2
